customer_id,tenure_years,contract_type,is_active_member
15565701,9,Two year,0
15565706,1,Month-to-month,1
15565714,1,Month-to-month,1
15565779,6,One year,0
15565796,10,Two year,0
15565806,9,Two year,0
15565878,3,One year,1
15565879,9,Two year,1
15565891,8,Two year,0
15565996,8,Two year,1
15566030,5,One year,0
15566091,4,One year,0
15566111,9,Two year,0
15566139,5,One year,0
15566156,0,Month-to-month,0
15566211,1,Month-to-month,0
15566251,5,One year,0
15566253,9,Two year,0
15566269,5,One year,0
15566292,1,Month-to-month,1
15566295,6,One year,0
15566312,5,One year,1
15566378,5,One year,1
15566380,10,Two year,1
15566467,0,Month-to-month,1
15566494,2,Month-to-month,0
15566495,2,Month-to-month,0
15566531,4,One year,1
15566543,9,Two year,0
15566563,4,One year,0
15566594,10,Two year,0
15566633,8,Two year,1
15566660,10,Two year,0
15566689,8,Two year,1
15566708,4,One year,0
15566735,2,Month-to-month,1
15566740,3,One year,1
15566790,8,Two year,1
15566843,9,Two year,1
15566891,3,One year,0
15566894,3,One year,0
15566958,7,Two year,1
15566988,7,Two year,0
15567013,3,One year,0
15567063,6,One year,1
15567078,8,Two year,1
15567114,1,Month-to-month,0
15567147,4,One year,1
15567246,3,One year,1
15567328,5,One year,1
15567333,7,Two year,0
15567335,7,Two year,1
15567339,9,Two year,1
15567367,9,Two year,1
15567383,2,Month-to-month,1
15567399,3,One year,1
15567422,6,One year,0
15567431,2,Month-to-month,1
15567437,7,Two year,1
15567442,3,One year,1
15567446,9,Two year,1
15567486,4,One year,1
15567506,6,One year,1
15567557,2,Month-to-month,1
15567630,6,One year,0
15567725,7,Two year,1
15567778,1,Month-to-month,1
15567802,2,Month-to-month,0
15567832,7,Two year,0
15567834,5,One year,1
15567839,9,Two year,1
15567855,1,Month-to-month,0
15567860,7,Two year,0
15567893,3,One year,0
15567897,5,One year,1
15567919,8,Two year,1
15567923,6,One year,0
15567980,5,One year,1
15567991,0,Month-to-month,1
15567993,8,Two year,0
15568006,2,Month-to-month,0
15568025,8,Two year,1
15568032,1,Month-to-month,0
15568044,7,Two year,1
15568046,7,Two year,0
15568088,3,One year,0
15568104,6,One year,1
15568106,8,Two year,1
15568120,7,Two year,1
15568162,8,Two year,1
15568164,4,One year,1
15568238,8,Two year,1
15568240,10,Two year,1
15568326,2,Month-to-month,0
15568328,6,One year,1
15568360,4,One year,1
15568429,3,One year,0
15568449,7,Two year,1
15568469,0,Month-to-month,0
15568487,7,Two year,1
15568506,10,Two year,1
15568519,9,Two year,0
15568562,8,Two year,0
15568573,7,Two year,1
15568595,9,Two year,1
15568742,9,Two year,0
15568748,6,One year,1
15568819,8,Two year,1
15568834,6,One year,0
15568849,10,Two year,1
15568876,1,Month-to-month,0
15568878,5,One year,0
15568885,8,Two year,0
15568904,3,One year,1
15568915,6,One year,0
15568953,1,Month-to-month,1
15568963,2,Month-to-month,0
15568982,6,One year,1
15569050,6,One year,0
15569079,6,One year,0
15569098,6,One year,0
15569120,7,Two year,1
15569178,4,One year,0
15569187,9,Two year,0
15569209,5,One year,1
15569222,6,One year,1
15569247,1,Month-to-month,1
15569248,10,Two year,0
15569249,6,One year,1
15569264,5,One year,1
15569266,7,Two year,0
15569274,2,Month-to-month,0
15569364,3,One year,0
15569394,2,Month-to-month,0
15569410,7,Two year,1
15569423,4,One year,0
15569430,2,Month-to-month,0
15569432,9,Two year,1
15569438,10,Two year,0
15569446,8,Two year,0
15569451,2,Month-to-month,1
15569452,3,One year,1
15569503,6,One year,1
15569526,10,Two year,0
15569571,6,One year,0
15569572,6,One year,1
15569590,1,Month-to-month,0
15569595,6,One year,0
15569624,6,One year,0
15569626,5,One year,1
15569641,8,Two year,0
15569654,3,One year,0
15569666,4,One year,0
15569670,6,One year,1
15569678,6,One year,0
15569682,9,Two year,0
15569759,4,One year,0
15569764,2,Month-to-month,0
15569807,8,Two year,0
15569867,8,Two year,0
15569878,3,One year,1
15569892,10,Two year,1
15569917,6,One year,0
15569945,1,Month-to-month,0
15569976,1,Month-to-month,1
15570002,8,Two year,0
15570004,3,One year,0
15570051,6,One year,0
15570060,8,Two year,0
15570073,1,Month-to-month,1
15570086,9,Two year,1
15570087,8,Two year,1
15570134,6,One year,1
15570141,3,One year,0
15570145,2,Month-to-month,0
15570192,8,Two year,0
15570194,5,One year,0
15570205,5,One year,1
15570271,6,One year,1
15570289,8,Two year,0
15570299,6,One year,0
15570326,6,One year,1
15570360,4,One year,0
15570379,3,One year,0
15570414,4,One year,0
15570417,1,Month-to-month,0
15570485,4,One year,0
15570508,7,Two year,0
15570533,7,Two year,1
15570601,9,Two year,1
15570629,5,One year,1
15570681,1,Month-to-month,0
15570769,9,Two year,1
15570835,4,One year,1
15570855,7,Two year,1
15570857,0,Month-to-month,1
15570859,2,Month-to-month,1
15570895,10,Two year,0
15570908,7,Two year,1
15570912,9,Two year,1
15570931,5,One year,0
15570932,7,Two year,1
15570943,2,Month-to-month,1
15570947,7,Two year,1
15570970,9,Two year,1
15570990,4,One year,0
15571002,4,One year,0
15571059,3,One year,0
15571065,0,Month-to-month,0
15571081,7,Two year,1
15571121,8,Two year,1
15571144,10,Two year,1
15571148,1,Month-to-month,0
15571193,0,Month-to-month,1
15571221,7,Two year,1
15571244,3,One year,1
15571261,6,One year,1
15571281,10,Two year,1
15571284,0,Month-to-month,1
15571302,5,One year,1
15571305,1,Month-to-month,0
15571415,6,One year,0
15571476,0,Month-to-month,0
15571529,7,Two year,0
15571550,9,Two year,0
15571571,3,One year,1
15571586,3,One year,0
15571666,8,Two year,0
15571689,5,One year,1
15571752,10,Two year,1
15571756,5,One year,0
15571778,10,Two year,0
15571816,5,One year,1
15571843,1,Month-to-month,0
15571869,4,One year,0
15571873,9,Two year,1
15571917,5,One year,0
15571928,4,One year,0
15571940,3,One year,1
15571958,3,One year,0
15571973,2,Month-to-month,0
15571995,1,Month-to-month,1
15572021,8,Two year,0
15572022,6,One year,1
15572038,9,Two year,0
15572050,3,One year,1
15572051,3,One year,1
15572073,5,One year,1
15572093,7,Two year,0
15572114,1,Month-to-month,1
15572145,8,Two year,0
15572158,3,One year,0
15572174,3,One year,1
15572182,3,One year,0
15572265,1,Month-to-month,0
15572291,6,One year,0
15572294,7,Two year,0
15572356,1,Month-to-month,1
15572360,10,Two year,0
15572361,2,Month-to-month,0
15572374,1,Month-to-month,1
15572390,6,One year,0
15572398,6,One year,1
15572408,3,One year,0
15572415,6,One year,1
15572428,0,Month-to-month,1
15572461,4,One year,0
15572467,5,One year,1
15572547,9,Two year,0
15572626,8,Two year,1
15572631,10,Two year,1
15572657,8,Two year,1
15572706,5,One year,0
15572728,8,Two year,0
15572735,2,Month-to-month,1
15572762,2,Month-to-month,0
15572767,2,Month-to-month,0
15572777,7,Two year,1
15572792,8,Two year,1
15572801,5,One year,0
15572956,5,One year,1
15573045,10,Two year,1
15573077,8,Two year,1
15573086,7,Two year,1
15573112,5,One year,0
15573152,9,Two year,0
15573171,1,Month-to-month,1
15573242,6,One year,1
15573278,6,One year,0
15573280,6,One year,1
15573284,2,Month-to-month,0
15573309,2,Month-to-month,1
15573318,8,Two year,0
15573319,8,Two year,0
15573348,9,Two year,1
15573452,7,Two year,0
15573456,9,Two year,0
15573520,6,One year,1
15573599,6,One year,1
15573628,7,Two year,0
15573730,6,One year,0
15573741,10,Two year,1
15573769,7,Two year,0
15573798,6,One year,0
15573851,1,Month-to-month,0
15573854,5,One year,1
15573876,8,Two year,0
15573888,1,Month-to-month,0
15573893,9,Two year,1
15573926,7,Two year,0
15573971,7,Two year,0
15574004,6,One year,1
15574012,8,Two year,0
15574068,9,Two year,0
15574071,2,Month-to-month,1
15574072,8,Two year,1
15574115,6,One year,1
15574119,1,Month-to-month,1
15574122,5,One year,0
15574137,3,One year,1
15574142,2,Month-to-month,1
15574167,2,Month-to-month,1
15574169,0,Month-to-month,0
15574206,7,Two year,1
15574213,1,Month-to-month,1
15574237,8,Two year,1
15574283,2,Month-to-month,1
15574296,2,Month-to-month,0
15574305,3,One year,1
15574324,2,Month-to-month,1
15574331,3,One year,1
15574352,4,One year,1
15574369,5,One year,1
15574372,5,One year,0
15574480,1,Month-to-month,0
15574523,1,Month-to-month,1
15574554,8,Two year,1
15574558,8,Two year,1
15574584,8,Two year,1
15574608,8,Two year,1
15574692,2,Month-to-month,0
15574743,2,Month-to-month,1
15574761,3,One year,0
15574783,1,Month-to-month,1
15574795,2,Month-to-month,1
15574830,2,Month-to-month,0
15574842,2,Month-to-month,1
15574858,8,Two year,1
15574868,5,One year,0
15574879,2,Month-to-month,1
15574886,6,One year,1
15574910,2,Month-to-month,0
15574947,8,Two year,1
15575002,4,One year,0
15575024,3,One year,1
15575060,5,One year,0
15575119,3,One year,1
15575146,8,Two year,1
15575147,9,Two year,0
15575185,5,One year,1
15575214,7,Two year,0
15575243,1,Month-to-month,1
15575247,1,Month-to-month,0
15575391,3,One year,1
15575399,1,Month-to-month,0
15575409,6,One year,0
15575410,4,One year,0
15575417,7,Two year,1
15575428,2,Month-to-month,1
15575430,1,Month-to-month,1
15575438,7,Two year,1
15575445,10,Two year,0
15575486,1,Month-to-month,1
15575492,7,Two year,0
15575498,5,One year,0
15575510,2,Month-to-month,1
15575581,3,One year,0
15575605,6,One year,1
15575619,1,Month-to-month,1
15575623,10,Two year,0
15575676,1,Month-to-month,1
15575679,7,Two year,0
15575691,5,One year,1
15575694,7,Two year,0
15575748,9,Two year,1
15575759,3,One year,0
15575858,3,One year,0
15575883,2,Month-to-month,0
15575935,0,Month-to-month,1
15575955,0,Month-to-month,0
15576000,6,One year,1
15576022,5,One year,1
15576044,6,One year,0
15576065,5,One year,1
15576077,9,Two year,1
15576085,5,One year,0
15576094,0,Month-to-month,1
15576111,5,One year,0
15576124,1,Month-to-month,0
15576126,2,Month-to-month,1
15576131,5,One year,0
15576156,6,One year,0
15576162,7,Two year,1
15576185,2,Month-to-month,1
15576196,5,One year,0
15576216,4,One year,0
15576219,4,One year,1
15576256,5,One year,1
15576263,5,One year,0
15576269,7,Two year,0
15576304,5,One year,1
15576313,9,Two year,0
15576352,3,One year,1
15576360,1,Month-to-month,1
15576368,3,One year,0
15576517,7,Two year,1
15576526,6,One year,1
15576550,1,Month-to-month,0
15576602,3,One year,1
15576615,10,Two year,0
15576623,5,One year,0
15576641,5,One year,1
15576644,4,One year,0
15576676,6,One year,1
15576680,4,One year,0
15576683,9,Two year,0
15576706,9,Two year,1
15576714,8,Two year,1
15576723,7,Two year,1
