customer_id,balance,monthly_charges,total_charges,payment_method,paperless_billing
15565701,161993.89,111.48,12039.84,Bank transfer,0
15565706,0.0,81.38,976.56,Debit card,0
15565714,64430.06,114.1,1369.2,Bank transfer,0
15565779,57809.32,177.55,12783.6,Credit card,1
15565796,96048.55,88.5,10620.0,Credit card,0
15565806,0.0,49.49,5344.92,Electronic check,0
15565878,0.0,188.97,6802.92,Debit card,1
15565879,0.0,70.82,7648.56,Debit card,0
15565891,0.0,70.85,6801.6,Debit card,0
15565996,0.0,152.87,14675.52,Debit card,1
15566030,80542.81,98.02,5881.2,Bank transfer,0
15566091,0.0,90.95,4365.6,Debit card,0
15566111,0.0,52.8,5702.4,Debit card,0
15566139,53573.18,72.4,4344.0,Credit card,0
15566156,71497.79,160.63,160.63,Bank transfer,1
15566211,103560.57,27.73,332.76,Credit card,0
15566251,96652.86,108.74,6524.4,Credit card,0
15566253,143391.07,155.92,16839.36,Bank transfer,1
15566269,0.0,63.42,3805.2,Debit card,0
15566292,0.0,83.76,1005.12,Electronic check,0
15566295,138053.79,168.69,12145.68,Credit card,1
15566312,0.0,193.51,11610.6,Debit card,1
15566378,129387.94,154.7,9282.0,Bank transfer,1
15566380,66948.67,151.34,18160.8,Credit card,1
15566467,138171.1,201.56,201.56,Credit card,1
15566494,0.0,88.56,2125.44,Debit card,0
15566495,0.0,41.67,1000.08,Debit card,0
15566531,88046.88,180.99,8687.52,Bank transfer,1
15566543,0.0,113.27,12233.16,Debit card,1
15566563,137851.31,36.85,1768.8,Credit card,0
15566594,0.0,131.99,15838.8,Electronic check,1
15566633,155059.1,167.75,16104.0,Credit card,1
15566660,0.0,104.0,12480.0,Debit card,0
15566689,0.0,121.29,11643.84,Debit card,1
15566708,0.0,158.71,7618.08,Debit card,1
15566735,108913.84,157.39,3777.36,Credit card,1
15566740,83739.32,148.56,5348.16,Bank transfer,1
15566790,129991.76,81.87,7859.52,Bank transfer,0
15566843,134874.4,131.25,14175.0,Credit card,1
15566891,88594.93,174.45,6280.2,Credit card,1
15566894,137817.52,102.67,3696.12,Bank transfer,0
15566958,167557.12,71.45,6001.8,Credit card,0
15566988,141535.52,75.39,6332.76,Credit card,0
15567013,0.0,49.67,1788.12,Debit card,0
15567063,106434.94,142.96,10293.12,Bank transfer,1
15567078,66201.96,88.15,8462.4,Credit card,0
15567114,118894.22,32.27,387.24,Bank transfer,0
15567147,0.0,92.26,4428.48,Debit card,0
15567246,102630.13,145.59,5241.24,Credit card,1
15567328,177997.07,54.73,3283.8,Bank transfer,0
15567333,0.0,165.94,13938.96,Debit card,1
15567335,0.0,182.37,15319.08,Debit card,1
15567339,0.0,107.24,11581.92,Debit card,1
15567367,133636.16,118.14,12759.12,Bank transfer,1
15567383,98009.13,64.86,1556.64,Bank transfer,0
15567399,144164.29,165.83,5969.88,Credit card,1
15567422,0.0,159.58,11489.76,Debit card,1
15567431,145578.28,188.98,4535.52,Bank transfer,1
15567437,123040.38,94.21,7913.64,Credit card,0
15567442,0.0,25.06,902.16,Debit card,0
15567446,111574.41,54.43,5878.44,Credit card,0
15567486,0.0,161.12,7733.76,Debit card,1
15567506,114940.67,203.65,14662.8,Credit card,1
15567557,128243.03,40.93,982.32,Credit card,0
15567630,100275.88,142.51,10260.72,Credit card,1
15567725,52016.08,92.63,7780.92,Credit card,0
15567778,144027.8,124.21,1490.52,Credit card,1
15567802,0.0,170.23,4085.52,Debit card,1
15567832,114354.95,74.17,6230.28,Credit card,0
15567834,105918.1,41.43,2485.8,Credit card,0
15567839,114631.23,105.39,11382.12,Bank transfer,0
15567855,0.0,56.82,681.84,Electronic check,0
15567860,189318.16,89.92,7553.28,Credit card,0
15567893,124213.36,94.82,3413.52,Credit card,0
15567897,132725.1,151.84,9110.4,Credit card,1
15567919,167735.69,136.38,13092.48,Bank transfer,1
15567923,0.0,114.17,8220.24,Electronic check,1
15567980,100727.5,144.49,8669.4,Bank transfer,1
15567991,144880.34,192.1,192.1,Bank transfer,1
15567993,134766.85,98.34,9440.64,Credit card,0
15568006,0.0,132.2,3172.8,Debit card,1
15568025,81710.46,121.36,11650.56,Credit card,1
15568032,127320.36,191.07,2292.84,Credit card,1
15568044,0.0,29.1,2444.4,Debit card,0
15568046,109558.36,181.36,15234.24,Credit card,1
15568088,163714.52,116.66,4199.76,Credit card,0
15568104,0.0,53.12,3824.64,Electronic check,0
15568106,119278.01,58.03,5570.88,Bank transfer,0
15568120,69609.85,82.55,6934.2,Credit card,0
15568162,0.0,55.09,5288.64,Debit card,0
15568164,71379.53,163.04,7825.92,Credit card,1
15568238,0.0,118.56,11381.76,Debit card,1
15568240,77168.87,157.83,18939.6,Bank transfer,1
15568326,0.0,148.72,3569.28,Debit card,1
15568328,0.0,79.33,5711.76,Debit card,0
15568360,139840.36,169.25,8124.0,Credit card,1
15568429,0.0,124.21,4471.56,Debit card,1
15568449,143006.7,46.49,3905.16,Credit card,0
15568469,0.0,47.22,47.22,Debit card,0
15568487,124616.23,88.46,7430.64,Credit card,0
15568506,67238.98,168.93,20271.6,Credit card,1
15568519,0.0,35.56,3840.48,Debit card,0
15568562,160272.27,77.42,7432.32,Credit card,0
15568573,105701.91,177.69,14925.96,Bank transfer,1
15568595,113829.45,132.69,14330.52,Credit card,1
15568742,0.0,113.08,12212.64,Debit card,1
15568748,99564.22,117.66,8471.52,Credit card,1
15568819,132796.04,215.77,20713.92,Credit card,1
15568834,125427.37,65.86,4741.92,Bank transfer,0
15568849,118158.74,161.41,19369.2,Credit card,1
15568876,102723.35,190.11,2281.32,Credit card,1
15568878,0.0,156.76,9405.6,Debit card,1
15568885,102251.57,127.9,12278.4,Credit card,1
