customer_id,status,exited,churn_reason
15565701,Retained,0,
15565706,Churned,1,Observed churn in source dataset
15565714,Retained,0,
15565779,Retained,0,
15565796,Retained,0,
15565806,Retained,0,
15565878,Retained,0,
15565879,Retained,0,
15565891,Retained,0,
15565996,Retained,0,
15566030,Churned,1,Observed churn in source dataset
15566091,Retained,0,
15566111,Retained,0,
15566139,Retained,0,
15566156,Retained,0,
15566211,Churned,1,Observed churn in source dataset
15566251,Churned,1,Observed churn in source dataset
15566253,Churned,1,Observed churn in source dataset
15566269,Retained,0,
15566292,Retained,0,
15566295,Retained,0,
15566312,Churned,1,Observed churn in source dataset
15566378,Churned,1,Observed churn in source dataset
15566380,Retained,0,
15566467,Retained,0,
15566494,Retained,0,
15566495,Churned,1,Observed churn in source dataset
15566531,Churned,1,Observed churn in source dataset
15566543,Retained,0,
15566563,Churned,1,Observed churn in source dataset
15566594,Retained,0,
15566633,Retained,0,
15566660,Retained,0,
15566689,Retained,0,
15566708,Churned,1,Observed churn in source dataset
15566735,Retained,0,
15566740,Retained,0,
15566790,Retained,0,
15566843,Retained,0,
15566891,Retained,0,
15566894,Retained,0,
15566958,Retained,0,
15566988,Churned,1,Observed churn in source dataset
15567013,Retained,0,
15567063,Churned,1,Observed churn in source dataset
15567078,Retained,0,
15567114,Retained,0,
15567147,Retained,0,
15567246,Retained,0,
15567328,Retained,0,
15567333,Retained,0,
15567335,Retained,0,
15567339,Retained,0,
15567367,Retained,0,
15567383,Retained,0,
15567399,Retained,0,
15567422,Retained,0,
15567431,Retained,0,
15567437,Retained,0,
15567442,Retained,0,
15567446,Retained,0,
15567486,Retained,0,
15567506,Churned,1,Observed churn in source dataset
15567557,Retained,0,
15567630,Churned,1,Observed churn in source dataset
15567725,Retained,0,
15567778,Churned,1,Observed churn in source dataset
15567802,Retained,0,
15567832,Retained,0,
15567834,Retained,0,
15567839,Retained,0,
15567855,Retained,0,
15567860,Churned,1,Observed churn in source dataset
15567893,Retained,0,
15567897,Retained,0,
15567919,Retained,0,
15567923,Retained,0,
15567980,Churned,1,Observed churn in source dataset
15567991,Retained,0,
15567993,Retained,0,
15568006,Churned,1,Observed churn in source dataset
15568025,Retained,0,
15568032,Retained,0,
15568044,Retained,0,
15568046,Retained,0,
15568088,Retained,0,
15568104,Retained,0,
15568106,Retained,0,
15568120,Retained,0,
15568162,Retained,0,
15568164,Retained,0,
15568238,Retained,0,
15568240,Retained,0,
15568326,Retained,0,
15568328,Retained,0,
15568360,Retained,0,
15568429,Retained,0,
15568449,Retained,0,
15568469,Retained,0,
15568487,Retained,0,
15568506,Retained,0,
15568519,Retained,0,
15568562,Retained,0,
15568573,Churned,1,Observed churn in source dataset
15568595,Retained,0,
15568742,Retained,0,
15568748,Churned,1,Observed churn in source dataset
15568819,Churned,1,Observed churn in source dataset
15568834,Retained,0,
15568849,Retained,0,
15568876,Retained,0,
15568878,Retained,0,
15568885,Retained,0,
15568904,Retained,0,
15568915,Retained,0,
15568953,Retained,0,
15568963,Churned,1,Observed churn in source dataset
15568982,Retained,0,
15569050,Churned,1,Observed churn in source dataset
15569079,Churned,1,Observed churn in source dataset
15569098,Churned,1,Observed churn in source dataset
15569120,Retained,0,
15569178,Retained,0,
15569187,Retained,0,
15569209,Retained,0,
15569222,Retained,0,
15569247,Retained,0,
15569248,Churned,1,Observed churn in source dataset
15569249,Churned,1,Observed churn in source dataset
15569264,Retained,0,
15569266,Retained,0,
15569274,Churned,1,Observed churn in source dataset
15569364,Retained,0,
15569394,Retained,0,
15569410,Retained,0,
15569423,Retained,0,
15569430,Retained,0,
15569432,Churned,1,Observed churn in source dataset
15569438,Retained,0,
15569446,Retained,0,
15569451,Retained,0,
15569452,Retained,0,
15569503,Retained,0,
15569526,Retained,0,
15569571,Churned,1,Observed churn in source dataset
15569572,Retained,0,
15569590,Churned,1,Observed churn in source dataset
15569595,Retained,0,
15569624,Retained,0,
15569626,Retained,0,
15569641,Churned,1,Observed churn in source dataset
15569654,Retained,0,
15569666,Churned,1,Observed churn in source dataset
15569670,Retained,0,
15569678,Retained,0,
15569682,Churned,1,Observed churn in source dataset
15569759,Retained,0,
15569764,Retained,0,
15569807,Churned,1,Observed churn in source dataset
15569867,Retained,0,
15569878,Retained,0,
15569892,Retained,0,
15569917,Churned,1,Observed churn in source dataset
15569945,Retained,0,
15569976,Churned,1,Observed churn in source dataset
15570002,Churned,1,Observed churn in source dataset
15570004,Retained,0,
15570051,Retained,0,
15570060,Churned,1,Observed churn in source dataset
15570073,Retained,0,
15570086,Retained,0,
15570087,Churned,1,Observed churn in source dataset
15570134,Retained,0,
15570141,Retained,0,
15570145,Retained,0,
15570192,Retained,0,
15570194,Retained,0,
15570205,Retained,0,
15570271,Retained,0,
15570289,Churned,1,Observed churn in source dataset
15570299,Retained,0,
15570326,Retained,0,
15570360,Retained,0,
15570379,Churned,1,Observed churn in source dataset
15570414,Retained,0,
15570417,Retained,0,
15570485,Retained,0,
15570508,Retained,0,
15570533,Churned,1,Observed churn in source dataset
15570601,Churned,1,Observed churn in source dataset
15570629,Retained,0,
15570681,Retained,0,
15570769,Retained,0,
15570835,Churned,1,Observed churn in source dataset
15570855,Retained,0,
15570857,Retained,0,
15570859,Retained,0,
15570895,Retained,0,
15570908,Retained,0,
15570912,Retained,0,
15570931,Churned,1,Observed churn in source dataset
15570932,Churned,1,Observed churn in source dataset
15570943,Retained,0,
15570947,Retained,0,
15570970,Retained,0,
15570990,Retained,0,
15571002,Retained,0,
15571059,Churned,1,Observed churn in source dataset
15571065,Retained,0,
15571081,Retained,0,
15571121,Retained,0,
15571144,Retained,0,
15571148,Retained,0,
15571193,Churned,1,Observed churn in source dataset
15571221,Churned,1,Observed churn in source dataset
15571244,Retained,0,
15571261,Retained,0,
15571281,Retained,0,
15571284,Retained,0,
15571302,Retained,0,
15571305,Churned,1,Observed churn in source dataset
15571415,Churned,1,Observed churn in source dataset
15571476,Retained,0,
15571529,Retained,0,
15571550,Retained,0,
15571571,Retained,0,
15571586,Churned,1,Observed churn in source dataset
15571666,Retained,0,
15571689,Retained,0,
15571752,Retained,0,
15571756,Retained,0,
15571778,Churned,1,Observed churn in source dataset
15571816,Retained,0,
15571843,Retained,0,
15571869,Churned,1,Observed churn in source dataset
15571873,Retained,0,
15571917,Retained,0,
15571928,Churned,1,Observed churn in source dataset
15571940,Retained,0,
15571958,Retained,0,
15571973,Retained,0,
15571995,Retained,0,
15572021,Retained,0,
15572022,Retained,0,
15572038,Churned,1,Observed churn in source dataset
15572050,Churned,1,Observed churn in source dataset
15572051,Retained,0,
15572073,Retained,0,
15572093,Retained,0,
15572114,Retained,0,
15572145,Retained,0,
15572158,Retained,0,
15572174,Retained,0,
15572182,Churned,1,Observed churn in source dataset
15572265,Retained,0,
15572291,Retained,0,
15572294,Retained,0,
15572356,Retained,0,
15572360,Retained,0,
15572361,Retained,0,
15572374,Retained,0,
15572390,Retained,0,
15572398,Retained,0,
15572408,Retained,0,
15572415,Retained,0,
15572428,Retained,0,
15572461,Retained,0,
15572467,Retained,0,
15572547,Churned,1,Observed churn in source dataset
15572626,Retained,0,
15572631,Retained,0,
15572657,Retained,0,
15572706,Retained,0,
15572728,Retained,0,
15572735,Retained,0,
15572762,Retained,0,
15572767,Retained,0,
15572777,Retained,0,
15572792,Retained,0,
15572801,Retained,0,
15572956,Retained,0,
15573045,Retained,0,
15573077,Churned,1,Observed churn in source dataset
15573086,Retained,0,
15573112,Retained,0,
15573152,Retained,0,
15573171,Churned,1,Observed churn in source dataset
15573242,Retained,0,
15573278,Retained,0,
15573280,Retained,0,
15573284,Retained,0,
15573309,Retained,0,
15573318,Retained,0,
15573319,Retained,0,
15573348,Retained,0,
15573452,Retained,0,
15573456,Churned,1,Observed churn in source dataset
15573520,Retained,0,
15573599,Churned,1,Observed churn in source dataset
15573628,Churned,1,Observed churn in source dataset
15573730,Retained,0,
15573741,Retained,0,
15573769,Retained,0,
15573798,Retained,0,
15573851,Churned,1,Observed churn in source dataset
15573854,Retained,0,
15573876,Retained,0,
15573888,Churned,1,Observed churn in source dataset
15573893,Retained,0,
15573926,Retained,0,
15573971,Retained,0,
15574004,Retained,0,
15574012,Churned,1,Observed churn in source dataset
15574068,Churned,1,Observed churn in source dataset
15574071,Retained,0,
15574072,Retained,0,
15574115,Retained,0,
15574119,Retained,0,
15574122,Retained,0,
15574137,Retained,0,
15574142,Retained,0,
15574167,Retained,0,
15574169,Retained,0,
15574206,Retained,0,
15574213,Churned,1,Observed churn in source dataset
15574237,Retained,0,
15574283,Retained,0,
15574296,Retained,0,
15574305,Retained,0,
15574324,Retained,0,
15574331,Churned,1,Observed churn in source dataset
15574352,Retained,0,
15574369,Retained,0,
15574372,Retained,0,
15574480,Retained,0,
15574523,Retained,0,
15574554,Retained,0,
15574558,Retained,0,
15574584,Retained,0,
15574608,Retained,0,
15574692,Churned,1,Observed churn in source dataset
15574743,Retained,0,
15574761,Churned,1,Observed churn in source dataset
15574783,Retained,0,
15574795,Retained,0,
15574830,Churned,1,Observed churn in source dataset
15574842,Retained,0,
15574858,Retained,0,
15574868,Retained,0,
15574879,Retained,0,
15574886,Retained,0,
15574910,Retained,0,
15574947,Retained,0,
15575002,Retained,0,
15575024,Retained,0,
15575060,Retained,0,
15575119,Churned,1,Observed churn in source dataset
15575146,Retained,0,
15575147,Churned,1,Observed churn in source dataset
15575185,Retained,0,
15575214,Retained,0,
15575243,Retained,0,
15575247,Retained,0,
15575391,Retained,0,
15575399,Retained,0,
15575409,Retained,0,
15575410,Retained,0,
15575417,Retained,0,
15575428,Retained,0,
15575430,Retained,0,
15575438,Retained,0,
15575445,Retained,0,
15575486,Retained,0,
15575492,Retained,0,
15575498,Retained,0,
15575510,Retained,0,
15575581,Retained,0,
15575605,Retained,0,
15575619,Retained,0,
15575623,Retained,0,
15575676,Retained,0,
15575679,Retained,0,
15575691,Retained,0,
15575694,Retained,0,
15575748,Retained,0,
15575759,Churned,1,Observed churn in source dataset
15575858,Retained,0,
15575883,Retained,0,
15575935,Churned,1,Observed churn in source dataset
15575955,Retained,0,
15576000,Retained,0,
15576022,Retained,0,
15576044,Retained,0,
15576065,Churned,1,Observed churn in source dataset
15576077,Retained,0,
15576085,Retained,0,
15576094,Retained,0,
15576111,Retained,0,
15576124,Retained,0,
15576126,Retained,0,
15576131,Retained,0,
15576156,Retained,0,
15576162,Retained,0,
15576185,Retained,0,
15576196,Churned,1,Observed churn in source dataset
15576216,Churned,1,Observed churn in source dataset
15576219,Retained,0,
15576256,Retained,0,
15576263,Retained,0,
15576269,Retained,0,
15576304,Retained,0,
15576313,Retained,0,
15576352,Retained,0,
15576360,Retained,0,
15576368,Retained,0,
15576517,Retained,0,
15576526,Retained,0,
15576550,Churned,1,Observed churn in source dataset
15576602,Retained,0,
15576615,Retained,0,
15576623,Retained,0,
15576641,Retained,0,
15576644,Churned,1,Observed churn in source dataset
15576676,Retained,0,
15576680,Retained,0,
15576683,Churned,1,Observed churn in source dataset
15576706,Retained,0,
15576714,Retained,0,
15576723,Retained,0,
15576745,Retained,0,
15576760,Retained,0,
15576774,Retained,0,
15576824,Churned,1,Observed churn in source dataset
15576928,Retained,0,
15576935,Churned,1,Observed churn in source dataset
15576945,Retained,0,
15576990,Retained,0,
15577018,Retained,0,
15577064,Retained,0,
15577078,Churned,1,Observed churn in source dataset
15577107,Churned,1,Observed churn in source dataset
15577170,Retained,0,
15577178,Churned,1,Observed churn in source dataset
15577274,Retained,0,
15577313,Churned,1,Observed churn in source dataset
15577359,Churned,1,Observed churn in source dataset
15577398,Retained,0,
15577402,Retained,0,
15577423,Churned,1,Observed churn in source dataset
15577478,Retained,0,
15577514,Retained,0,
15577515,Churned,1,Observed churn in source dataset
15577587,Churned,1,Observed churn in source dataset
15577598,Retained,0,
15577657,Retained,0,
15577683,Retained,0,
15577695,Retained,0,
15577700,Retained,0,
15577751,Retained,0,
15577771,Churned,1,Observed churn in source dataset
15577806,Retained,0,
15577831,Retained,0,
15577905,Retained,0,
15577913,Retained,0,
15577970,Retained,0,
15577985,Retained,0,
15577988,Retained,0,
15577999,Churned,1,Observed churn in source dataset
15578006,Retained,0,
15578045,Churned,1,Observed churn in source dataset
15578073,Retained,0,
15578096,Retained,0,
15578098,Retained,0,
15578141,Churned,1,Observed churn in source dataset
15578156,Retained,0,
15578186,Retained,0,
15578211,Retained,0,
15578238,Retained,0,
15578251,Retained,0,
15578297,Churned,1,Observed churn in source dataset
15578307,Retained,0,
15578369,Retained,0,
15578374,Retained,0,
15578375,Retained,0,
15578435,Retained,0,
15578462,Retained,0,
15578515,Retained,0,
15578546,Retained,0,
15578603,Churned,1,Observed churn in source dataset
15578648,Retained,0,
15578671,Churned,1,Observed churn in source dataset
15578722,Retained,0,
15578738,Retained,0,
15578747,Retained,0,
15578761,Churned,1,Observed churn in source dataset
15578783,Retained,0,
15578787,Churned,1,Observed churn in source dataset
15578788,Retained,0,
15578799,Churned,1,Observed churn in source dataset
15578809,Churned,1,Observed churn in source dataset
15578825,Retained,0,
15578835,Retained,0,
15578865,Churned,1,Observed churn in source dataset
15578866,Retained,0,
15578878,Retained,0,
15578908,Retained,0,
15578977,Retained,0,
15578980,Retained,0,
15579040,Retained,0,
15579062,Retained,0,
15579074,Retained,0,
15579109,Retained,0,
15579112,Retained,0,
15579130,Churned,1,Observed churn in source dataset
15579131,Retained,0,
15579166,Retained,0,
15579183,Retained,0,
15579189,Retained,0,
15579207,Retained,0,
15579208,Retained,0,
15579212,Churned,1,Observed churn in source dataset
15579223,Retained,0,
15579262,Retained,0,
15579287,Retained,0,
15579334,Churned,1,Observed churn in source dataset
15579345,Retained,0,
15579387,Retained,0,
15579433,Retained,0,
15579526,Retained,0,
15579548,Retained,0,
15579559,Retained,0,
15579566,Churned,1,Observed churn in source dataset
15579583,Retained,0,
15579616,Retained,0,
15579617,Churned,1,Observed churn in source dataset
15579647,Retained,0,
15579706,Churned,1,Observed churn in source dataset
15579714,Retained,0,
15579777,Retained,0,
15579781,Retained,0,
15579787,Retained,0,
15579808,Retained,0,
15579820,Retained,0,
15579826,Retained,0,
15579891,Retained,0,
15579892,Retained,0,
15579914,Retained,0,
15579915,Retained,0,
15579969,Retained,0,
