customer_id,gender,age,credit_score,estimated_salary,risk_band
15565701,Female,39,698,90212.38,Medium
15565706,Male,35,612,83256.26,High
15565714,Male,47,601,96517.97,High
15565779,Female,30,627,188258.49,High
15565796,Male,48,745,74510.65,Low
15565806,Male,38,532,30583.95,Very High
15565878,Male,29,631,197963.46,High
15565879,Female,28,845,56185.98,Very Low
15565891,Male,39,709,56214.09,Medium
15565996,Male,44,653,154639.72,High
15566030,Male,41,497,88729.22,Very High
15566091,Female,32,545,94739.2,Very High
15566111,Male,39,596,48963.59,High
15566139,Female,37,526,62830.97,Very High
15566156,Female,44,749,151083.8,Low
15566211,Female,41,616,236.45,High
15566251,Female,37,618,98686.4,High
15566253,Male,44,580,146891.07,High
15566269,Male,25,787,47307.9,Low
15566292,Male,36,574,71709.12,Very High
15566295,Female,33,761,148779.41,Low
15566312,Female,42,660,189016.24,High
15566378,Male,48,515,147955.91,Very High
15566380,Female,33,586,140759.03,High
15566467,Female,32,683,188203.58,Medium
15566494,Male,45,487,77475.73,Very High
15566495,Female,24,704,35600.25,Medium
15566531,Male,33,724,186942.49,Medium
15566543,Male,44,573,107124.17,Very High
15566563,Female,30,777,5008.23,Low
15566594,Male,23,709,129590.18,Medium
15566633,Male,55,698,144584.29,Medium
15566660,Female,41,670,81602.02,Medium
15566689,Male,66,554,116747.62,Very High
15566708,Female,45,444,161653.5,Very High
15566735,Female,36,548,140460.01,Very High
15566740,Male,51,587,148798.45,High
15566790,Male,28,598,46041.08,High
15566843,Male,20,535,118825.56,Very High
15566891,Female,41,584,178997.89,High
15566894,Male,39,793,83997.79,Low
15566958,Male,39,667,41183.02,High
15566988,Female,46,656,50595.15,High
15567013,Male,33,779,30804.68,Low
15567063,Female,34,766,137995.66,Low
15567078,Female,27,789,79458.12,Low
15567114,Male,35,430,2923.61,Very High
15567147,Male,40,802,81908.09,Very Low
15567246,Male,32,684,127433.47,Medium
15567328,Male,38,738,19233.41,Medium
15567333,Female,31,712,170333.38,Medium
