customer_id,num_products,service_bundle,has_credit_card
15565701,1,Core service,0
15565706,1,Starter service,1
15565714,2,Dual service,0
15565779,1,Core service,1
15565796,1,Core service,1
15565806,2,Dual service,0
15565878,2,Dual service,1
15565879,2,Dual service,1
15565891,2,Dual service,1
15565996,2,Dual service,1
15566030,1,Core service,0
15566091,1,Starter service,1
15566111,1,Starter service,1
15566139,1,Core service,1
15566156,2,Dual service,0
15566211,1,Core service,1
15566251,1,Core service,1
15566253,1,Core service,0
15566269,2,Dual service,1
15566292,2,Dual service,0
15566295,2,Dual service,1
15566312,3,Premium bundle,1
15566378,1,Core service,0
15566380,2,Dual service,1
15566467,2,Dual service,1
15566494,2,Dual service,1
15566495,1,Starter service,1
15566531,1,Core service,0
15566543,2,Dual service,1
15566563,1,Core service,1
15566594,2,Dual service,0
15566633,2,Dual service,1
15566660,3,Premium bundle,1
15566689,2,Dual service,1
15566708,2,Dual service,1
15566735,2,Dual service,1
15566740,1,Core service,0
15566790,2,Dual service,0
15566843,1,Core service,1
15566891,1,Core service,1
15566894,1,Core service,0
15566958,1,Core service,1
15566988,1,Core service,1
15567013,2,Dual service,1
15567063,1,Core service,0
15567078,1,Core service,1
15567114,1,Core service,0
15567147,2,Dual service,1
15567246,2,Dual service,1
15567328,1,Core service,0
15567333,2,Dual service,1
15567335,2,Dual service,1
15567339,1,Starter service,1
15567367,1,Core service,0
15567383,2,Dual service,0
15567399,1,Core service,1
15567422,2,Dual service,1
15567431,1,Core service,0
15567437,1,Core service,1
15567442,2,Dual service,1
15567446,1,Core service,1
15567486,2,Dual service,1
15567506,2,Dual service,1
15567557,1,Core service,1
15567630,1,Core service,1
15567725,2,Dual service,1
15567778,1,Core service,1
15567802,2,Dual service,1
15567832,1,Core service,1
15567834,1,Core service,1
15567839,1,Core service,0
15567855,2,Dual service,0
15567860,2,Dual service,1
15567893,2,Dual service,1
15567897,1,Core service,1
15567919,2,Dual service,0
15567923,1,Starter service,0
15567980,1,Core service,0
15567991,2,Dual service,0
15567993,1,Core service,1
15568006,4,Premium bundle,1
15568025,1,Core service,1
15568032,3,Premium bundle,1
15568044,2,Dual service,1
15568046,1,Core service,1
15568088,1,Core service,1
15568104,2,Dual service,0
15568106,2,Dual service,0
15568120,1,Core service,1
15568162,1,Starter service,1
15568164,2,Dual service,1
15568238,2,Dual service,1
15568240,2,Dual service,0
15568326,2,Dual service,1
15568328,2,Dual service,1
15568360,1,Core service,1
15568429,2,Dual service,1
15568449,1,Core service,1
15568469,2,Dual service,1
15568487,1,Core service,1
15568506,2,Dual service,1
15568519,2,Dual service,1
15568562,1,Core service,1
15568573,1,Core service,0
15568595,1,Core service,1
15568742,1,Starter service,1
15568748,1,Core service,1
15568819,3,Premium bundle,1
15568834,2,Dual service,0
15568849,1,Core service,1
15568876,2,Dual service,1
15568878,2,Dual service,1
15568885,1,Core service,1
15568904,1,Core service,1
15568915,1,Core service,1
15568953,1,Core service,1
15568963,1,Core service,1
15568982,2,Dual service,1
15569050,1,Starter service,1
15569079,1,Core service,1
15569098,1,Core service,0
15569120,2,Dual service,1
15569178,1,Core service,1
